wavenumber,n1,n2,n3
1633.4,1.2867,1.4622,1.685
1635.4,1.2873,1.4631,1.686
1637.3,1.2879,1.464,1.687
1639.2,1.2886,1.465,1.688
1641.2,1.2892,1.4659,1.6891
1643.1,1.2898,1.4668,1.6901
1645,1.2904,1.4678,1.6911
1646.9,1.291,1.4687,1.6921
1648.9,1.2915,1.4696,1.6931
1650.8,1.2921,1.4705,1.6941
1652.7,1.2927,1.4714,1.695
1654.7,1.2933,1.4723,1.696
1656.6,1.2939,1.4732,1.697
1658.5,1.2944,1.474,1.698
1660.4,1.295,1.4749,1.6989
1662.4,1.2956,1.4758,1.6999
1664.3,1.2961,1.4766,1.7008
1666.2,1.2967,1.4775,1.7018
1668.2,1.2972,1.4784,1.7027
1670.1,1.2978,1.4792,1.7036
1672,1.2983,1.48,1.7045
1673.9,1.2989,1.4809,1.7055
1675.9,1.2994,1.4817,1.7064
1677.8,1.2999,1.4825,1.7073
1679.7,1.3005,1.4834,1.7082
1681.7,1.301,1.4842,1.7091
1683.6,1.3015,1.485,1.71
1685.5,1.302,1.4858,1.7109
1687.4,1.3026,1.4866,1.7117
1689.4,1.3031,1.4874,1.7126
1691.3,1.3036,1.4882,1.7135
1693.2,1.3041,1.489,1.7144
1695.1,1.3046,1.4897,1.7152
1697.1,1.3051,1.4905,1.7161
1699,1.3056,1.4913,1.7169
1700.9,1.3061,1.4921,1.7178
1702.9,1.3066,1.4928,1.7186
1704.8,1.3071,1.4936,1.7195
1706.7,1.3075,1.4943,1.7203
1708.6,1.308,1.4951,1.7211
1710.6,1.3085,1.4958,1.7219
1712.5,1.309,1.4966,1.7228
1714.4,1.3094,1.4973,1.7236
1716.4,1.3099,1.498,1.7244
1718.3,1.3104,1.4988,1.7252
1720.2,1.3108,1.4995,1.726
1722.1,1.3113,1.5002,1.7268
1724.1,1.3118,1.5009,1.7276
1726,1.3122,1.5016,1.7284
1727.9,1.3127,1.5023,1.7292
1729.9,1.3131,1.503,1.7299
1731.8,1.3136,1.5037,1.7307
1733.7,1.314,1.5044,1.7315
1735.6,1.3145,1.5051,1.7322
1737.6,1.3149,1.5058,1.733
1739.5,1.3153,1.5065,1.7338
1741.4,1.3158,1.5072,1.7345
1743.4,1.3162,1.5078,1.7353
1745.3,1.3166,1.5085,1.736
1747.2,1.3171,1.5092,1.7368
1749.1,1.3175,1.5098,1.7375
1751.1,1.3179,1.5105,1.7382
1753,1.3183,1.5112,1.739
1754.9,1.3187,1.5118,1.7397
1756.9,1.3192,1.5125,1.7404
1758.8,1.3196,1.5131,1.7411
1760.7,1.32,1.5138,1.7418
1762.6,1.3204,1.5144,1.7426
1764.6,1.3208,1.515,1.7433
1766.5,1.3212,1.5157,1.744
1768.4,1.3216,1.5163,1.7447
1770.4,1.322,1.5169,1.7454
1772.3,1.3224,1.5175,1.7461
1774.2,1.3228,1.5181,1.7468
1776.1,1.3232,1.5188,1.7474
1778.1,1.3236,1.5194,1.7481
1780,1.324,1.52,1.7488
1781.9,1.3243,1.5206,1.7495
1783.9,1.3247,1.5212,1.7501
1785.8,1.3251,1.5218,1.7508
1787.7,1.3255,1.5224,1.7515
1789.6,1.3259,1.523,1.7521
1791.6,1.3262,1.5236,1.7528
1793.5,1.3266,1.5242,1.7535
1795.4,1.327,1.5247,1.7541
1797.4,1.3273,1.5253,1.7548
1799.3,1.3277,1.5259,1.7554
1801.2,1.3281,1.5265,1.756
1803.1,1.3284,1.527,1.7567
1805.1,1.3288,1.5276,1.7573
1807,1.3292,1.5282,1.758
1808.9,1.3295,1.5287,1.7586
1810.9,1.3299,1.5293,1.7592
1812.8,1.3302,1.5299,1.7598
1814.7,1.3306,1.5304,1.7605
1816.6,1.3309,1.531,1.7611
1818.6,1.3313,1.5315,1.7617
1820.5,1.3316,1.532,1.7623
1822.4,1.332,1.5326,1.7629
1824.4,1.3323,1.5331,1.7635
1826.3,1.3326,1.5337,1.7641
1828.2,1.333,1.5342,1.7647
1830.1,1.3333,1.5347,1.7653
1832.1,1.3337,1.5353,1.7659
1834,1.334,1.5358,1.7665
1835.9,1.3343,1.5363,1.7671
1837.9,1.3346,1.5368,1.7677
1839.8,1.335,1.5374,1.7683
1841.7,1.3353,1.5379,1.7688
1843.6,1.3356,1.5384,1.7694
1845.6,1.336,1.5389,1.77
1847.5,1.3363,1.5394,1.7706
1849.4,1.3366,1.5399,1.7711
1851.4,1.3369,1.5404,1.7717
1853.3,1.3372,1.5409,1.7723
1855.2,1.3375,1.5414,1.7728
1857.1,1.3379,1.5419,1.7734
1859.1,1.3382,1.5424,1.7739
1861,1.3385,1.5429,1.7745
1862.9,1.3388,1.5434,1.775
1864.9,1.3391,1.5439,1.7756
1866.8,1.3394,1.5444,1.7761
1868.7,1.3397,1.5448,1.7767
1870.6,1.34,1.5453,1.7772
1872.6,1.3403,1.5458,1.7777
1874.5,1.3406,1.5463,1.7783
1876.4,1.3409,1.5467,1.7788
1878.4,1.3412,1.5472,1.7793
1880.3,1.3415,1.5477,1.7799
1882.2,1.3418,1.5482,1.7804
1884.1,1.3421,1.5486,1.7809
1886.1,1.3424,1.5491,1.7814
1888,1.3427,1.5495,1.782
1889.9,1.3429,1.55,1.7825
1891.9,1.3432,1.5505,1.783
1893.8,1.3435,1.5509,1.7835
1895.7,1.3438,1.5514,1.784
1897.6,1.3441,1.5518,1.7845
1899.6,1.3444,1.5523,1.785
1901.5,1.3446,1.5527,1.7855
1903.4,1.3449,1.5531,1.786
1905.4,1.3452,1.5536,1.7865
1907.3,1.3455,1.554,1.787
1909.2,1.3458,1.5545,1.7875
1911.1,1.346,1.5549,1.788
1913.1,1.3463,1.5553,1.7885
1915,1.3466,1.5558,1.789
1916.9,1.3468,1.5562,1.7895
1918.9,1.3471,1.5566,1.7899
1920.8,1.3474,1.557,1.7904
1922.7,1.3476,1.5575,1.7909
1924.6,1.3479,1.5579,1.7914
1926.6,1.3482,1.5583,1.7919
1928.5,1.3484,1.5587,1.7923
1930.4,1.3487,1.5591,1.7928
1932.4,1.3489,1.5596,1.7933
1934.3,1.3492,1.56,1.7937
1936.2,1.3495,1.5604,1.7942
1938.1,1.3497,1.5608,1.7947
1940.1,1.35,1.5612,1.7951
1942,1.3502,1.5616,1.7956
1943.9,1.3505,1.562,1.796
1945.9,1.3507,1.5624,1.7965
1947.8,1.351,1.5628,1.7969
1949.7,1.3512,1.5632,1.7974
1951.6,1.3515,1.5636,1.7978
1953.6,1.3517,1.564,1.7983
1955.5,1.352,1.5644,1.7987
1957.4,1.3522,1.5648,1.7992
1959.4,1.3525,1.5652,1.7996
1961.3,1.3527,1.5656,1.8001
1963.2,1.3529,1.5659,1.8005
1965.1,1.3532,1.5663,1.8009
1967.1,1.3534,1.5667,1.8014
1969,1.3537,1.5671,1.8018
1970.9,1.3539,1.5675,1.8022
1972.9,1.3541,1.5678,1.8026
1974.8,1.3544,1.5682,1.8031
1976.7,1.3546,1.5686,1.8035
1978.6,1.3548,1.569,1.8039
1980.6,1.3551,1.5693,1.8043
1982.5,1.3553,1.5697,1.8048
1984.4,1.3555,1.5701,1.8052
1986.4,1.3558,1.5704,1.8056
1988.3,1.356,1.5708,1.806
1990.2,1.3562,1.5712,1.8064
1992.1,1.3564,1.5715,1.8068
1994.1,1.3567,1.5719,1.8072
1996,1.3569,1.5723,1.8077
1997.9,1.3571,1.5726,1.8081
1999.9,1.3573,1.573,1.8085
