wavenumber,k1,k2,k3
1216.9,0.27427,0.5115,0.11656
1218.8,0.26069,0.48921,0.11383
1220.7,0.24811,0.46755,0.11123
1222.7,0.23646,0.44661,0.10876
1224.6,0.22565,0.4264,0.1064
1226.5,0.21562,0.40698,0.10415
1228.5,0.20628,0.38837,0.10199
1230.4,0.1976,0.37061,0.099928
1232.3,0.18949,0.35367,0.097951
1234.2,0.18192,0.33758,0.096056
1236.2,0.17483,0.32232,0.094235
1238.1,0.16819,0.30787,0.092486
1240,0.16195,0.2942,0.090801
1242,0.15608,0.2813,0.089179
1243.9,0.15055,0.26912,0.087614
1245.8,0.14532,0.25765,0.086104
1247.7,0.14037,0.24683,0.084644
1249.7,0.13567,0.23666,0.083232
1251.6,0.1312,0.22707,0.081865
1253.5,0.12694,0.21806,0.08054
1255.5,0.12286,0.20958,0.079254
1257.4,0.11896,0.20162,0.078006
1259.3,0.1152,0.19413,0.076793
1261.2,0.11158,0.18711,0.075614
1263.2,0.10808,0.1805,0.074466
1265.1,0.1047,0.1743,0.073348
1267,0.10143,0.16848,0.072258
1269,0.098259,0.163,0.071195
1270.9,0.095192,0.15784,0.070157
1272.8,0.092227,0.15299,0.069144
1274.7,0.089361,0.1484,0.068153
1276.7,0.086597,0.14406,0.067185
1278.6,0.083932,0.13994,0.066238
1280.5,0.081369,0.13604,0.065312
1282.5,0.078904,0.13232,0.064404
1284.4,0.076539,0.12878,0.063515
1286.3,0.074268,0.1254,0.062644
1288.2,0.072093,0.12217,0.061791
